Date,DJIA
1995-12-21,5096.529785
1995-12-22,5097.970215
1995-12-26,5110.259766
1995-12-27,5105.919922
1995-12-28,5095.799805
1995-12-29,5117.120117
1996-01-02,5177.450195
1996-01-03,5194.069824
1996-01-04,5173.839844
1996-01-05,5181.430176
1996-01-08,5197.700195
1996-01-09,5130.129883
1996-01-10,5032.939941
1996-01-11,5065.100098
1996-01-12,5061.120117
1996-01-15,5043.779785
1996-01-16,5088.220215
1996-01-17,5066.899902
1996-01-18,5124.350098
1996-01-19,5184.680176
1996-01-22,5219.359863
1996-01-23,5192.27002
1996-01-24,5242.839844
1996-01-25,5216.830078
1996-01-26,5271.75
1996-01-29,5304.97998
1996-01-30,5381.209961
1996-01-31,5395.299805
1996-02-01,5405.060059
1996-02-02,5373.990234
1996-02-05,5407.589844
1996-02-06,5459.609863
1996-02-07,5492.120117
1996-02-08,5539.450195
1996-02-09,5541.620117
1996-02-12,5600.149902
1996-02-13,5601.22998
1996-02-14,5579.549805
1996-02-15,5551.370117
1996-02-16,5503.319824
1996-02-20,5458.529785
1996-02-21,5515.970215
1996-02-22,5608.459961
1996-02-23,5630.490234
1996-02-26,5565.100098
1996-02-27,5549.209961
1996-02-28,5506.209961
1996-02-29,5485.620117
1996-03-01,5536.560059
1996-03-04,5600.149902
1996-03-05,5642.419922
1996-03-06,5629.77002
1996-03-07,5641.689941
1996-03-08,5470.450195
1996-03-11,5581
1996-03-12,5583.890137
1996-03-13,5568.720215
1996-03-14,5586.060059
1996-03-15,5584.970215
1996-03-18,5683.600098
1996-03-19,5669.509766
1996-03-20,5655.419922
1996-03-21,5626.879883
1996-03-22,5636.640137
1996-03-25,5643.859863
1996-03-26,5670.600098
1996-03-27,5626.879883
1996-03-28,5630.850098
1996-03-29,5587.140137
1996-04-01,5637.720215
1996-04-02,5671.680176
1996-04-03,5689.740234
1996-04-04,5682.879883
1996-04-08,5594.370117
1996-04-09,5560.410156
1996-04-10,5485.97998
1996-04-11,5487.069824
1996-04-12,5532.589844
1996-04-15,5592.919922
1996-04-16,5620.02002
1996-04-17,5549.930176
1996-04-18,5551.740234
1996-04-19,5535.47998
1996-04-22,5564.740234
1996-04-23,5588.589844
1996-04-24,5553.899902
1996-04-25,5566.910156
1996-04-26,5567.990234
1996-04-29,5573.410156
1996-04-30,5569.080078
1996-05-01,5575.220215
1996-05-02,5498.27002
1996-05-03,5478.029785
1996-05-06,5464.310059
1996-05-07,5420.950195
1996-05-08,5474.060059
1996-05-09,5475.140137
1996-05-10,5518.140137
1996-05-13,5582.600098
1996-05-14,5624.709961
1996-05-15,5625.439941
1996-05-16,5635.049805
1996-05-17,5687.5
1996-05-20,5748.819824
1996-05-21,5736.259766
1996-05-22,5778
1996-05-23,5762.120117
1996-05-24,5762.859863
1996-05-28,5709.669922
1996-05-29,5673.830078
1996-05-30,5693.410156
1996-05-31,5643.180176
1996-06-03,5624.709961
1996-06-04,5665.709961
1996-06-05,5697.47998
1996-06-06,5667.189941
1996-06-07,5697.109863
1996-06-10,5687.870117
1996-06-11,5668.660156
1996-06-12,5668.290039
1996-06-13,5657.950195
1996-06-14,5649.450195
1996-06-17,5652.779785
1996-06-18,5628.029785
1996-06-19,5648.350098
1996-06-20,5659.430176
1996-06-21,5705.22998
1996-06-24,5717.790039
1996-06-25,5719.27002
1996-06-26,5682.700195
1996-06-27,5677.529785
1996-06-28,5654.629883
1996-07-01,5729.97998
1996-07-02,5720.379883
1996-07-03,5703.02002
1996-07-05,5588.140137
1996-07-08,5550.830078
1996-07-09,5581.859863
1996-07-10,5603.649902
1996-07-11,5520.540039
1996-07-12,5510.560059
1996-07-15,5349.509766
1996-07-16,5358.759766
1996-07-17,5376.879883
1996-07-18,5464.180176
1996-07-19,5426.819824
1996-07-22,5390.939941
1996-07-23,5346.549805
1996-07-24,5354.689941
1996-07-25,5422.009766
1996-07-26,5473.060059
1996-07-29,5434.589844
1996-07-30,5481.930176
1996-07-31,5528.910156
1996-08-01,5594.75
1996-08-02,5679.830078
1996-08-05,5674.279785
1996-08-06,5696.109863
1996-08-07,5718.669922
1996-08-08,5713.490234
1996-08-09,5681.310059
1996-08-12,5704.97998
1996-08-13,5647.279785
1996-08-14,5666.899902
1996-08-15,5665.779785
1996-08-16,5689.450195
1996-08-19,5699.439941
1996-08-20,5721.259766
1996-08-21,5689.819824
1996-08-22,5733.470215
1996-08-23,5722.740234
1996-08-26,5693.890137
1996-08-27,5711.27002
1996-08-28,5712.379883
1996-08-29,5647.649902
1996-08-30,5616.209961
1996-09-03,5648.390137
1996-09-04,5656.899902
1996-09-05,5606.959961
1996-09-06,5659.859863
1996-09-09,5733.839844
1996-09-10,5727.180176
1996-09-11,5754.919922
1996-09-12,5771.939941
1996-09-13,5838.52002
1996-09-16,5889.200195
1996-09-17,5888.830078
1996-09-18,5877.359863
1996-09-19,5867.740234
1996-09-20,5888.459961
1996-09-23,5894.740234
1996-09-24,5874.029785
1996-09-25,5877.359863
1996-09-26,5868.850098
1996-09-27,5872.919922
1996-09-30,5882.169922
1996-10-01,5904.899902
1996-10-02,5933.970215
1996-10-03,5932.850098
1996-10-04,5992.859863
1996-10-07,5979.810059
1996-10-08,5966.77002
1996-10-09,5930.620117
1996-10-10,5921.669922
1996-10-11,5969.379883
1996-10-14,6010
1996-10-15,6004.779785
1996-10-16,6020.810059
1996-10-17,6059.200195
1996-10-18,6094.22998
1996-10-21,6090.870117
1996-10-22,6061.799805
1996-10-23,6036.459961
1996-10-24,5992.47998
1996-10-25,6007.02002
1996-10-28,5972.72998
1996-10-29,6007.02002
1996-10-30,5993.22998
1996-10-31,6029.379883
1996-11-01,6021.930176
1996-11-04,6041.680176
1996-11-05,6081.180176
1996-11-06,6177.709961
1996-11-07,6206.040039
1996-11-08,6219.819824
1996-11-11,6255.600098
1996-11-12,6266.040039
1996-11-13,6274.240234
1996-11-14,6313
1996-11-15,6348.029785
1996-11-18,6346.910156
1996-11-19,6397.600098
1996-11-20,6430.02002
1996-11-21,6418.470215
1996-11-22,6471.759766
1996-11-25,6547.790039
1996-11-26,6528.410156
1996-11-27,6499.339844
1996-11-29,6521.700195
1996-12-02,6521.700195
1996-12-03,6442.689941
1996-12-04,6422.939941
1996-12-05,6437.100098
1996-12-06,6381.939941
1996-12-09,6463.939941
1996-12-10,6473.25
1996-12-11,6402.52002
1996-12-12,6303.709961
1996-12-13,6304.870117
1996-12-16,6268.350098
1996-12-17,6308.330078
1996-12-18,6346.77002
1996-12-19,6473.640137
1996-12-20,6484.399902
1996-12-23,6489.02002
1996-12-24,6522.850098
1996-12-26,6546.680176
1996-12-27,6560.910156
1996-12-30,6549.370117
1996-12-31,6448.27002
1997-01-02,6442.490234
1997-01-03,6544.089844
1997-01-06,6567.180176
1997-01-07,6600.660156
1997-01-08,6549.47998
1997-01-09,6625.669922
